"BAD","DEROG_DELINQ","IMP_CLAGE","DEBTINC","_dmIndex_","_PartInd_","I_BAD","P_BAD1","P_BAD0","EM_EVENTPROBABILITY","EM_CLASSIFICATION","EM_PROBABILITY"
"           0","1.9433801521","192.73333333","           .","     1000066","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","88.470452135","29.393543382","     1000068","           0","           0","0.0732837454","0.9267162546","0.0732837454","           0","0.9267162546"
"           1","-0.636595338","        97.4","           .","     1000069","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","129.71732313","26.634347518","     1000071","           1","           0","0.0500790968","0.9499209032","0.0500790968","           0","0.9499209032"
"           1","-13.26885931","252.63333333","           .","     1000072","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","203.75153358","20.067042051","     1000073","           1","           0","0.0228363238","0.9771636762","0.0228363238","           0","0.9771636762"
"           1","1.9433801521","146.12324219","24.478881191","     1000076","           2","           0","0.0406899557","0.9593100443","0.0406899557","           0","0.9593100443"
"           1","1.4534669779","       150.3","           .","     1000077","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","85.277365579","29.343921089","     1000079","           0","           0","0.0744749751","0.9255250249","0.0744749751","           0","0.9255250249"
"           1","1.4534669779","86.566666667","           .","     1000080","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","126.53333333","           .","     1000083","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","117.79510388","41.286491948","     1000084","           1","           0","0.1100881835","0.8899118165","0.1100881835","           0","0.8899118165"
"           1","-1.071155108","85.333333333","           .","     1000085","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","92.133333333","           .","     1000086","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.3243662197","136.13333333","           .","     1000087","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","168.66666667","           .","     1000088","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","        12.2","           .","     1000089","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","         162","           .","     1000090","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","        85.8","           .","     1000091","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.573366706","186.63333333","           .","     1000096","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.8109525998","       146.1","           .","     1000097","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.4534669779","212.34930388","39.128717628","     1000098","           0","           0","0.0803607565","0.9196392435","0.0803607565","           0","0.9196392435"
"           0","0.4617491415","227.79298841","39.166328703","     1000099","           1","           0","0.1415445015","0.8584554985","0.1415445015","           0","0.8584554985"
"           1","1.9433801521","100.77465221","33.840919904","     1000100","           0","           0","0.0848363467","0.9151636533","0.0848363467","           0","0.9151636533"
"           1","-0.435983784","63.933333333","           .","     1000101","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.0456472264","        93.5","           .","     1000104","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.573366706"," 89.86105825","39.158084834","     2000006","           0","           0","0.4563090797","0.5436909203","0.4563090797","           0","0.5436909203"
"           1","1.9433801521","170.36666667","           .","     2000009","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       222.6","           .","     2000012","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       122.6","           .","     2000013","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.2611375873","       125.8","           .","     2000014","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.8109525998","203.86666667","           .","     2000016","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.808061333","        80.1","           .","     2000017","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","0.8109525998","283.95953809","36.475473283","     2000019","           2","           0","0.0720892567","0.9279107433","0.0720892567","           0","0.9279107433"
"           1","1.9433801521","        61.8","           .","     2000021","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784","90.466666667","           .","     2000023","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","0.3243662197","160.14631128","21.583760121","     2000025","           1","           0","0.0988170226","0.9011829774","0.0988170226","           0","0.9011829774"
"           0","1.9433801521","141.85899895"," 37.76961861","     2000028","           1","           0","0.0810868661","0.9189131339","0.0810868661","           0","0.9189131339"
"           1","1.9433801521","101.74676644","33.243156978","     2000029","           1","           0","0.0819437768","0.9180562232","0.0819437768","           0","0.9180562232"
"           0","1.9433801521","112.57341888","41.673996362","     2000030","           0","           0","0.1154254818","0.8845745182","0.1154254818","           0","0.8845745182"
"           1","1.9433801521","        81.5","           .","     2000031","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","131.93333333","           .","     2000033","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784"," 61.64250608","40.590910018","     2000034","           1","           0"," 0.494229846"," 0.505770154"," 0.494229846","           0"," 0.505770154"
"           0","1.9433801521","122.59722259","40.616779346","     2000039","           0","           0","0.1038135359","0.8961864641","0.1038135359","           0","0.8961864641"
"           0","1.9433801521","193.63644687","25.897316482","     2000041","           1","           0","0.0328249871","0.9671750129","0.0328249871","           0","0.9671750129"
"           1","1.9433801521","        65.7","           .","     2000042","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","61.766666667","           .","     2000043","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","58.866666667","           .","     2000044","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","105.74964198","           .","     2000045","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       100.3","           .","     2000046","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","146.29617189","           .","     2000047","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","       121.9","           .","     2000048","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","54.733333333","           .","     2000049","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","          57","           .","     2000050","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","72.433333333","           .","     2000051","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","105.74964198","           .","     2000052","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","        88.7","           .","     2000053","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","285.33333333","           .","     2000054","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","74.633333333","           .","     2000055","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","335.03333333","           .","     2000056","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","234.02181639","           .","     2000057","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","105.74964198","           .","     2000058","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.4534669779","179.83333333","           .","     2000062","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.3243662197","107.13333333","           .","     2000068","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-14.89574847","       228.3","           .","     2000071","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       133.9","           .","     2000072","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.1631739852","122.76666667","           .","     2000073","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","131.86666667","           .","     2000074","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","82.133333333","           .","     2000075","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.0456472264","       222.2","           .","     2000076","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-2.062872944","163.36666667","           .","     2000077","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784","144.06666667","           .","     2000078","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.4534669779"," 178.6925087","26.448197463","     2000079","           1","           0","0.0521758063","0.9478241937","0.0521758063","           0","0.9478241937"
"           1","1.9433801521","        97.1","           .","     2000080","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784","148.34064549","46.489874001","     2000084","           1","           0","0.4368143285","0.5631856715","0.4368143285","           0","0.5631856715"
"           0","1.9433801521"," 257.6522064","40.952588884","     2000085","           1","           0","0.0480818155","0.9519181845","0.0480818155","           0","0.9519181845"
"           1","1.9433801521","          69","           .","     2000090","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","        21.2","           .","     2000094","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","0.3210394256","417.63333333","           .","     2000095","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784","86.233333333","           .","     2000096","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.0456472264","157.85980209","25.650741224","     2000097","           1","           0","0.0750931422","0.9249068578","0.0750931422","           0","0.9249068578"
"           0","1.9433801521","266.81346458","23.797401058","     2000102","           0","           0","0.0188151539","0.9811848461","0.0188151539","           0","0.9811848461"
"           0","1.0456472264","        17.2","           .","     2000105","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","        81.1","           .","     2000106","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","157.77103573","72.670433313","     3000002","           0","           0","0.3375594818","0.6624405182","0.3375594818","           0","0.6624405182"
"           1","1.9433801521","302.35870946","39.196985402","     3000006","           0","           0","0.0335865611","0.9664134389","0.0335865611","           0","0.9664134389"
"           0","1.9433801521","84.417030462","12.043670576","     3000007","           0","           0","0.0312735212","0.9687264788","0.0312735212","           0","0.9687264788"
"           1","1.0456472264","98.333333333","           .","     3000009","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521"," 124.1821788","34.599060194","     3000010","           0","           0","0.0769116498","0.9230883502","0.0769116498","           0","0.9230883502"
"           0","1.4534669779","234.02181639","28.423961906","     3000013","           0","           0"," 0.041408516"," 0.958591484"," 0.041408516","           0"," 0.958591484"
"           0","1.4534669779","189.03430464","24.701136262","     3000018","           1","           0","0.0449054796","0.9550945204","0.0449054796","           0","0.9550945204"
"           1","1.9433801521","        95.6","           .","     3000019","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       199.9","           .","     3000020","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       102.5","           .","     3000025","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.4534669779","116.59197688","37.612682724","     3000027","           0","           0","0.1282174467","0.8717825533","0.1282174467","           0","0.8717825533"
"           0","1.9433801521","189.29531847","20.654128896","     3000030","           2","           0"," 0.025721474"," 0.974278526"," 0.025721474","           0"," 0.974278526"
"           1","0.3243662197","153.93333333","           .","     3000031","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","194.84216401","           .","     3000032","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-2.062872944","       130.8","           .","     3000034","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","167.36666667","           .","     3000035","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","187.02051879","27.646748505","     3000036","           2","           0","0.0373716992","0.9626283008","0.0373716992","           0","0.9626283008"
"           0","1.9433801521","186.42441602","28.417530896","     3000037","           1","           0"," 0.039012484"," 0.960987516"," 0.039012484","           0"," 0.960987516"
"           1","1.4534669779","136.32063746","34.494708965","     3000040","           1","           0","0.0991912499","0.9008087501","0.0991912499","           0","0.9008087501"
"           1","1.4534669779","82.294266354","36.986744097","     3000041","           1","           0","0.1499827707","0.8500172293","0.1499827707","           0","0.8500172293"
"           1","0.4617491415","48.995845002","33.126483967","     3000042","           1","           0","0.2687845099","0.7312154901","0.2687845099","           0","0.7312154901"
"           1","1.9433801521","172.21327665","32.676640875","     3000045","           1","           0","0.0527155874","0.9472844126","0.0527155874","           0","0.9472844126"
"           1","0.5557340522","204.06666667","           .","     3000050","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.5557340522","148.13333333","           .","     3000051","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","212.53911509","21.258026878","     3000056","           1","           0"," 0.023017301"," 0.976982699"," 0.023017301","           0"," 0.976982699"
"           0","1.9433801521","128.47645151"," 37.85968784","     3000057","           0","           0","0.0879542111","0.9120457889","0.0879542111","           0","0.9120457889"
"           0","1.9433801521","210.34747857","31.243408701","     3000061","           1","           0","0.0390079871","0.9609920129","0.0390079871","           0","0.9609920129"
"           1","1.9433801521","        95.9","           .","     3000062","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       177.5","           .","     3000063","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       104.4","           .","     3000064","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","97.133170952","41.777888631","     3000065","           0","           0","0.1263048751","0.8736951249","0.1263048751","           0","0.8736951249"
"           1","1.9433801521","157.00977472","47.415228659","     3000069","           0","           0","0.1180982336","0.8819017664","0.1180982336","           0","0.8819017664"
"           0","1.9433801521","48.853667057","38.773685963","     3000072","           1","           0","0.1430143198","0.8569856802","0.1430143198","           0","0.8569856802"
"           0","1.9433801521","266.55339438","43.309764541","     3000073","           0","           0","0.0513546362","0.9486453638","0.0513546362","           0","0.9486453638"
"           1","1.9433801521","83.289062746","30.187805389","     3000077","           1","           0","0.0785218567","0.9214781433","0.0785218567","           0","0.9214781433"
"           0","1.9433801521","126.40098357"," 43.20775979","     3000078","           0","           0","0.1148795032","0.8851204968","0.1148795032","           0","0.8851204968"
"           1","0.3210394256","36.766666667","           .","     3000082","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       238.6","           .","     3000084","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","157.96001139","40.628278175","     3000087","           1","           0","0.2164485524","0.7835514476","0.2164485524","           0","0.7835514476"
"           0","1.4534669779","118.44249103","40.110407425","     3000088","           1","           0","0.1423642776","0.8576357224","0.1423642776","           0","0.8576357224"
"           1","-12.37112638","250.56666667","           .","     3000090","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.3210394256","154.13333333","           .","     3000093","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       116.1","           .","     3000094","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.573366706","        69.3","           .","     4000001","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","122.76666667","           .","     4000002","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","140.93333333","           .","     4000003","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","          90","           .","     4000004","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","51.733333333","           .","     4000005","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       136.3","           .","     4000006","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","83.333333333","           .","     4000007","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       218.6","           .","     4000008","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","0.4617491415","122.73333333","           .","     4000015","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.2611375873","       101.4","           .","     4000018","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.3243662197","       119.7","           .","     4000019","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.1652750745","        90.3","           .","     4000020","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784","       129.9","           .","     4000021","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","       398.8","15.174415003","     4000023","           0","           0","0.0052691332","0.9947308668","0.0052691332","           0","0.9947308668"
"           1","1.4534669779","       398.8","21.935498813","     4000024","           1","           0"," 0.010761123"," 0.989238877"," 0.010761123","           0"," 0.989238877"
"           0","1.9433801521","213.53333333","           .","     4000025","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","138.64686318","31.757270694","     4000031","           2","           0","0.0614111928","0.9385888072","0.0614111928","           0","0.9385888072"
"           0","1.9433801521","350.43613755","28.848276581","     4000034","           0","           0","0.0146169683","0.9853830317","0.0146169683","           0","0.9853830317"
"           0","1.4534669779","122.60405287","28.925117417","     4000036","           0","           0","0.0819682228","0.9180317772","0.0819682228","           0","0.9180317772"
"           0","1.4534669779","194.84216401","34.517404516","     4000040","           1","           0","0.0709341481","0.9290658519","0.0709341481","           0","0.9290658519"
"           1","0.3210394256","        80.5","           .","     4000045","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","       164.8","           .","     4000047","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.4534669779","234.02181639","12.324707091","     4000052","           0","           0","0.0180407934","0.9819592066","0.0180407934","           0","0.9819592066"
"           0","1.9433801521","324.68682941","28.285532103","     4000054","           1","           0","0.0166413895","0.9833586105","0.0166413895","           0","0.9833586105"
"           0","1.9433801521","101.16706032","38.675140153","     4000055","           1","           0"," 0.106773961"," 0.893226039"," 0.106773961","           0"," 0.893226039"
"           0","1.9433801521","124.74559549","35.642270107","     4000056","           1","           0","0.0806753716","0.9193246284","0.0806753716","           0","0.9193246284"
"           0","1.9433801521","335.07414261","31.177261304","     4000061","           0","           0","0.0181507051","0.9818492949","0.0181507051","           0","0.9818492949"
"           1","1.9433801521","120.73333333","           .","     4000062","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.8109525998","          84","           .","     4000063","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.9433801521","199.01192718","26.520049519","     4000065","           0","           0"," 0.032803506"," 0.967196494"," 0.032803506","           0"," 0.967196494"
"           0","0.2611375873","153.78043854","21.719595981","     4000066","           0","           0","0.1074817824","0.8925182176","0.1074817824","           0","0.8925182176"
"           1","-14.89574847","227.12990511"," 23.31951678","     4000069","           0","           1","0.9998271684","0.0001728316","0.9998271684","           1","0.9998271684"
"           1","0.4617491415","         128","           .","     4000072","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           0","1.4534669779"," 213.8321032"," 40.64461955","     4000079","           1","           0","0.0857816939","0.9142183061","0.0857816939","           0","0.9142183061"
"           0","1.9433801521","147.07716353","31.206129763","     4000082","           0","           0","0.0568409775","0.9431590225","0.0568409775","           0","0.9431590225"
"           0","1.4534669779","126.32864372","28.756345434","     4000088","           1","           0"," 0.079566963"," 0.920433037"," 0.079566963","           0"," 0.920433037"
"           1","1.9433801521","127.06270157","37.800352933","     4000091","           1","           0","0.0884144965","0.9115855035","0.0884144965","           0","0.9115855035"
